Gene.refGene	OMIM_GeneName	OMIM_Comments	OMIM_Phenotypes
MMP23B, MMP22	Matrix metalloproteinase 23B		
CDK11B, CDC2L1, P58, CDK11	Cyclin-dependent kinase 11B		
MMP23A, MMP21, MIFR	Matrix metalloproteinase 23A		
CDK11A, CDC2L2	Cyclin-dependent kinase 11A		
NADK	NAD kinase		
GNB1, MRD42	Guanine nucleotide-binding protein, beta polypeptide-1		Leukemia, acute lymphoblastic, somatic, 613065 (3); Mental retardation, autosomal dominant 42, 616973 (3), Autosomal dominant
CALML6, CAGLP	Calmodulin-like 6		
GABRD, GEFSP5, EIG10, EJM7	Gamma-aminobutyric acid (GABA) A receptor, delta		{Epilepsy, generalized, with febrile seizures plus, type 5, susceptibility to}, 613060 (3), Autosomal dominant; {Epilepsy, idiopathic generalized, 10}, 613060 (3), Autosomal dominant; {Epilepsy, juvenile myoclonic, susceptibility to}, 613060 (3), Autosomal dominant
PRKCZ, PKC2	Protein kinase C, zeta form		
C1orf86, FAAP20	Chromosome 1 open reading frame 86		
SKI, SGS	SKI proto-oncogene	formerly mapped to 1q22-q24	Shprintzen-Goldberg syndrome, 182212 (3), Autosomal dominant
DYT13	Dystonia 13, torsion		Dystonia 13, torsion, 607671 (2), Autosomal dominant
KONDS	Kondoh syndrome (mental retardation, microcephaly, growth retardation, joint contractures, and facial dysmorphism)	linked to rs966321 and rs1441834	Kondoh syndrome, 606242 (2), Autosomal recessive
PEX10, NALD, PBD6A, PBD6B	Peroxisome biogenesis factor 10		Peroxisome biogenesis disorder 6A (Zellweger), 614870 (3), Autosomal recessive; Peroxisome biogenesis disorder 6B, 614871 (3), Autosomal recessive
PLCH2, PLCL4	Phospholipase C, eta-2		
PANK4	Pantothenate kinase 4		
HES5	Hes family bHLH transcription factor 5		
TNFRSF14, HVEM, TR2	Tumor necrosis factor receptor superfamily, member 14 (herpesvirus entry mediator)		
MMEL1, NEPII, NEP2, NL1, SEP	Membrane metalloendopeptidase-like 1		
ACTRT2, ARPT2, ARPM2	Actin-related protein T2		
PRDM16, MEL1, LVNC8, CMD1LL	PR domain-containing protein 16		Cardiomyopathy, dilated, 1LL, 615373 (3), Autosomal dominant; Left ventricular noncompaction 8, 615373 (3), Autosomal dominant
MEGF6, EGFL3	Multiple epidermal growth factor-like domains 6		
MIR551A	Micro RNA 551A		
TPRG1L, FAM79A	Tumor protein p63 regulated 1-like		
WDR8	WD repeat-containing protein 8		
TP73	p53-related protein	imprinted	
SMIM1, VEL	Small integral membrane protein 1		[Blood group, Vel system], 615264 (3), Autosomal recessive
CEP104, GLYBP, KIAA0562, JBTS25	Centrosomal protein, 104kD		Joubert syndrome 25, 616781 (3), Autosomal recessive
DFFB, CAD, DFF2	DNA fragmentation factor, 40kD, beta subunit		
AJAP1, SHREW1	Adherens junction-associated protein 1		
DFNB96	Deafness, autosomal recessive 96	between rs3817914 and rs477558	Deafness, autosomal recessive 96, 614414 (2), Autosomal recessive
NPHP4, SLSN4	Nephrocystin 4		Nephronophthisis 4, 606966 (3), Autosomal recessive; Senior-Loken syndrome 4, 606996 (3), Autosomal recessive
KCNAB2, KCNA2B	Potassium voltage-gated channel, shaker-related subfamily, beta member 2		
CHD5	Chromodomain helicase DNA-binding protein 5		
RPL22, EAP	Ribosomal protein L22	fused with AML1 in t(3;21)	
RNF207, C1orf188	RING finger protein 207		
ICMT	Isoprenylcysteine carboxylmethyltransferase		
HES3	Hes family bHLH transcription factor 3		
GPR153	G protein-coupled receptor 153		
ACOT7, BACH, LACH	Acyl-CoA thioesterase 7		
HES2	Hes family bHLH transcription factor 2		
ESPN	Espin		Deafness, autosomal recessive 36, 609006 (3), Autosomal recessive; Deafness, neurosensory, without vestibular involvement, autosomal dominant, 609006 (3), Autosomal recessive
TNFRSF25, TNFRSF12, DR3, LARD	Tumor necrosis factor receptor superfamily, member 25		
PLEKHG5, KIAA0720, DSMA4, CMTRIC	Pleckstrin homology domain- and RhoGEF domain-containing protein G5		Charcot-Marie-Tooth disease, recessive intermediate C, 615376 (3), Autosomal recessive; Spinal muscular atrophy, distal, autosomal recessive, 4, 611067 (3), Autosomal recessive
TAS1R1, T1R1	Taste receptor type 1, member 1		
ZBTB48, HKR3	Zinc finger- and BTB domain-containing protein 48		
KLHL21, KIAA0469	Kelch-like 21		
THAP3	THAP domain-containing protein 3		
DNAJC11	DNAJ/HSP40 homolog, subfamily C, member 11		
CAMTA1, KIAA0833, CANPMR	Calmodulin-binding transcription activator 1		Cerebellar ataxia, nonprogressive, with mental retardation, 614756 (3), Autosomal dominant
GLC3B	Glaucoma 3, primary infantile, B		Glaucoma 3, primary infantile, B, 600975 (2), Autosomal recessive
SCZD12	Schizophrenia 12	max lod at D1S1612	{Schizophrenia 12}, 181500 (2), Autosomal dominant
VAMP3	Vesicle-associated membrane protein 3		
PER3, FASPS3	Period circadian regulator 3	mutation identified in 1 FASPS3 family	?Advanced sleep phase syndrome, familial, 3, 616882 (3), Autosomal dominant
UTS2	Urotensin II		
TNFRSF9, ILA, CD137	Tumor necrosis factor receptor superfamily, member 9 (interleukin-activated receptor; Ly63, mouse, homolog of)		
DJ1, PARK7	Oncogene DJ-1		Parkinson disease 7, autosomal recessive early-onset, 606324 (3), Autosomal recessive
MIG6, RALT	Mitogen-inducible gene 6		
SLC45A1, DNB5, IDDNPF	Solute carrier family 45, member 1		Intellectual developmental disorder with neuropsychiatric features, 617532 (3), Autosomal recessive
RERE, NEDBEH	RE repeats-encoding gene		Neurodevelopmental disorder with or without anomalies of the brain, eye, or heart, 616975 (3), Autosomal dominant
ENO1, PPH, MPB1	Enolase-1, alpha		Enolase deficiency (1)
CA6	Carbonic anhydrase VI		
SLC2A7, GLUT7	Solute carrier family 2 (facilitated glucose transporter), member 7		
SLC2A5, GLUT5	Solute carrier family 2 (facilitated glucose transporter), member 5		
MIR34A, MIRN34A	Micro RNA 34A		
H6PD, GDH, G6PDH, CORTRD1	Hexose-6-phosphate dehydrogenase	digenic triallelic mutations with HSD11B1	Cortisone reductase deficiency 1, 604931 (3), Autosomal recessive
SPSB, SSB1	SPRY domain- and SOCS box-containing 1		
SLC25A33	Solute carrier family 25 (mitochondrial carrier), member 33		
PIK3CD, APDS, IMD14	Phosphatidylinositol 3-kinase, catalytic, 110kD, delta		Immunodeficiency 14, 615513 (3), Autosomal dominant
CLSTN1, KIAA0911	Calsyntenin 1		
CTNNBIP1, ICAT	Catenin, beta-interacting protein 1		
LZIC	Leucine zipper and CTNNBIP1 domains-containing protein		
NMNAT1, NMNAT, PNAT1, LCA9	Nicotinamide nucleotide adenylyltransferase 1		Leber congenital amaurosis 9, 608553 (3), Autosomal recessive
UBE4B, UFD2A, KIAA0684	Ubiquitination factor E4B		
KIF1B, CMT2A, CMT2A1, NBLST1	Kinesin family member 1B	mutation identified in 1 CMT2A1 family	?Charcot-Marie-Tooth disease, type 2A1, 118210 (3), Autosomal dominant; {Neuroblastoma, susceptibility to, 1}, 256700 (3), Autosomal dominant, Somatic mutation; Pheochromocytoma, 171300 (3), Autosomal dominant
PGD	6-phosphogluconate dehydrogenase		
APITD1	Apoptosis-inducing, TAF9-like domain 1		
CORT	Cortistatin		
DFFA, DFF1	DNA fragmentation factor, 45kD, alpha subunit		
PEX14, PBD13A	Peroxisome biogenesis factor 14		Peroxisome biogenesis disorder 13A (Zellweger), 614887 (3), Autosomal recessive
CASZ1, SRG	Castor zinc finger protein 1		
TARDBP, TDP43, ALS10	TAR DNA-binding protein	pseudogenes on 2, 6, 8, 13, 20	Amyotrophic lateral sclerosis 10, with or without FTD, 612069 (3), Autosomal dominant; Frontotemporal lobar degeneration, TARDBP-related, 612069 (3), Autosomal dominant
MASP2	Mannan-binding lectin serine protease 2		MASP2 deficiency, 613791 (3), Autosomal recessive
SRM, SPS1	Spermidine synthase-1	?pseudogene on 3p14-q21	
EXOSC10, PMSCL2	Exosome component 10		
MTOR, FRAP1, SKS	Mechanistic target of rapamycin		Focal cortical dysplasia, type II, somatic, 607341 (3); Smith-Kingsmore syndrome, 616638 (3), Autosomal dominant
ANGPTL7, CDT6	Angiopoietin-like 7		
UBIAD1, TERE1, SCCD	UbiA prenyltransferase domain-containing protein 1		Corneal dystrophy, Schnyder type, 121800 (3), Autosomal dominant
PTCHD2, DISP3, KIAA1337	Patched domain-containing protein 2		
FBXO2, FBX2, FBG1, NFB42	F-box only protein 2		
FBXO44, FBX44, FBX6A, FBG3	F-box only protein 44		
FBXO6, FBX6, FBG2	F-box only protein 6		
MAD2L2, MAD2B, FANCV	Mitotic arrest-deficient 2 like 2	mutation identified in 1 FANCV patient; pseudogene on 14q21-q23	?Fanconi anemia, complementation group V, 617243 (3), Autosomal recessive
DRAXIN, C1orf187	Dorsal repulsive axon guidance protein		
MTHFR	Methylenetetrahydrofolate reductase		Homocystinuria due to MTHFR deficiency, 236250 (3), Autosomal recessive; {Neural tube defects, susceptibility to}, 601634 (3), Autosomal recessive; {Schizophrenia, susceptibility to}, 181500 (3), Autosomal dominant; {Thromboembolism, susceptibility to}, 188050 (3), Autosomal dominant; {Vascular disease, susceptibility to} (3)
CLCN6	Chloride channel 6		
NPPA, PND, ANP, ATFB6, ATRST2	Natriuretic peptide precursor A		Atrial fibrillation, familial, 6, 612201 (3), Autosomal dominant; Atrial standstill 2, 615745 (3), Autosomal recessive
NPPB, BNP	Natriuretic peptide precursor B		
PLOD1, LH1, LLH, EDSKCL1	Procollagen-lysine, 2-oxoglutarate 5-dioxygenase (lysine hydroxylase)		Ehlers-Danlos syndrome, kyphoscoliotic type, 1, 225400 (3), Autosomal recessive
MFN2, KIAA0214, CMT2A2A, HMSN6A, CMT2A2B	Mitofusin 2		Charcot-Marie-Tooth disease, axonal, type 2A2A, 609260 (3), Autosomal dominant; Charcot-Marie-Tooth disease, axonal, type 2A2B, 617087 (3), Autosomal recessive; Hereditary motor and sensory neuropathy VIA, 601152 (3), Autosomal dominant
MIIP, IIP45	Migration and invasion inhibitory protein		
TNFRSF8, CD30, D1S166E	Tumor necrosis factor receptor superfamily, member 8 (CD30 antigen; Ki-1 antigen)		
TNFRSF1B, TNFR2, TNFBR	Tumor necrosis factor receptor superfamily, member 1B		
VPS13D, SCAR4	Vacuolar protein sorting 13 homolog D		Spinocerebellar ataxia, autosomal recessive 4, 607317 (3), Autosomal recessive
GBD2	Gallbladder disease 2	between D1S1597 and D1S47	Gallbladder disease 2, 609918 (2)
DHRS3, RETSDR1	Short-chain dehydrogenase/reductase family, member 3		
LRRC38	Leucine-rich repeat-containing protein 38		
PDPN, TI1A, T1A2, GP36, OTS8, AGGRUS	Podoplanin		
PRDM2, RIZ	PR domain-containing protein 2 (retinoblastoma protein-binding zinc-finger protein RIZ)		
KAZN	Kazrin, periplakin-interacting protein		
EFHD2, SWS1	EF-hand domain family, member D2		
CTRC, CLCR	Chymotrypsin		{Pancreatitis, chronic, susceptibility to}, 167800 (3), Autosomal dominant
CELA2A, ELA2A	Chymotrypsin-like elastase family, member 2A		
CELA2B, ELA2B	Chymotrypsin-like elastase family, member 2B		
CASP9, APAF3	Caspase 9, apoptosis-related cysteine protease		
AGMAT, AUH	Agmatinase		
RSC1A1, RS1	Regulatory solute carrier protein, family 1, member 1		
PLEKHM2, SKIP, KIAA0842	Pleckstrin homology domain-containing protein, family M, member 2		
SLC25A34	Solute carrier family 25, member 34		
FBLP1, MIGFILIN	Filamin-binding LIM protein 1		
SPEN, MINT, SHARP, HIAA0929	Spen family transcriptional repressor		
ANIB3	Aneurysm, intracranial berry, 3		Aneurysm, intracranial berry, 3, 609122 (2), Autosomal dominant
EA8	Episodic ataxia, type 8	between rs2743201 and rs215791	Episodic ataxia, type 8, 616055 (2), Autosomal dominant
MEMO1	Methylation modifier for class I HLA		
ZBTB17, ZNF151, MIZ1	Zinc finger- and BTB domain-containing protein 17		
HSPB7, CVHSP	Heat-shock 27kD protein 7		
CLCNKA	Chloride channel, kidney, A	11kb from CLCNKB; simultaneous mutation in CLCNKA and CLCNKB	Bartter syndrome, type 4b, digenic, 613090 (3), Digenic recessive
CLCNKB	Chloride channel, kidney, B	unequal crossingover with CLCNKA	Bartter syndrome, type 3, 607364 (3), Autosomal recessive; Bartter syndrome, type 4b, digenic, 613090 (3), Digenic recessive
EPHA2, ECK, CTPP1, CTPA, ARCC2, CTRCT6	Ephrin receptor EphA2		Cataract 6, multiple types, 116600 (3), Autosomal dominant
ARHGEF19, WGEF	RHO guanine nucleotide exchange factor 19		
FBXO42, FBX42, KIAA1332	F-box only protein 42		
NECAP2	NECAP endocytosis-associated protein 2		
TRNAG1, TRG1	tRNA glycine-1		
NBPF1, KIAA1693	Neuroblastoma breakpoint family, member 1	pseudogenes on 3 and 5	
RNU1A, RNU1	RNA, U1A small nuclear	?same as A12M2	
TRNAE1, TRNE, TRE	tRNA glutamic acid		
CROCC, ROOTLETIN, KIAA0445	Ciliary rootlet coiled-coil protein		
MFAP2, MAGP, MAGP1	Microfibrillar-associated protein-2		
ATP13A2, PARK9, KRPPD, SPG78	ATPase, type 13A2	mutation identified in 1 family with CLN12	Kufor-Rakeb syndrome, 606693 (3), Autosomal recessive; Spastic paraplegia 78, autosomal recessive, 617225 (3), Autosomal recessive
SDHB, SDH2, SDHIP, PGL4	Succinate dehydrogenase complex, subunit B, iron sulfur (Ip)	1 of 2 polypeptides	Gastrointestinal stromal tumor, 606764 (3), Autosomal dominant, Isolated cases; Paraganglioma and gastric stromal sarcoma, 606864 (3); Paragangliomas 4, 115310 (3), Autosomal dominant; Pheochromocytoma, 171300 (3), Autosomal dominant
PADI2	Peptidylarginine deiminase, type II		
PADI1	Peptidylarginine deiminase, type I		
PADI3, UHS1	Peptidylarginine deiminase, type III		Uncombable hair syndrome, 191480 (3), Autosomal recessive
PADI4, PADI5, PAD	Peptidylarginine deiminase, type IV		{Rheumatoid arthritis, susceptibility to}, 180300 (3)
PADI6, PREMBL2	Peptidylarginine deiminase, type VI		Preimplantation embryonic lethality 2, 617234 (3), Autosomal recessive
ARHGEF10L, GRINCHGEF, KIAA1626	RHO guanine nucleotide exchange factor 10-like protein		
PAX7, RMS2, MYOSCO	Paired box homeotic gene-7	fused with FKHR in rhabdomyosarcoma	Myopathy, congenital, progressive, with scoliosis, 618578 (3), Autosomal recessive; Rhabdomyosarcoma 2, alveolar, 268220 (3), Somatic mutation
TAS1R2, T1R2	Taste receptor type 1, member 2		
ALDH4A1, ALDH4, P5CDH	Aldehyde dehydrogenase 4 family, member A1 (delta-1-pyrroline 5-carboxylate dehydrogenase)		Hyperprolinemia, type II, 239510 (3), Autosomal recessive
UBR4, ZUBR1, RBAF600, KIAA1307	Ubiquitin protein ligase E3 component n-recognin 4		
EMC1, KIAA0090, CAVIPMR	Endoplasmic reticulum membrane protein complex, subunit 1		Cerebellar atrophy, visual impairment, and psychomotor retardation, 616875 (3), Autosomal recessive
AKR7A4, AFAR3	Aldo-keto reductase family 7, member A4		
AKR7A3, AFAR2	Aldo-keto reductase family 7, member A3		
AKR7A2, AKR7, AFAR	Aldo-keto reductase family 7, member A2	pseudogenes on Xq25 and 1p12	
PQLC2	PQ loop repeat-containing protein 2		
CAPZB, CAPPB	Capping protein (actin filament) muscle Z-line, beta		
MICOS10, MINOS1, MIO10, MIC10	Mitochondrial contact site and cristae organizing system, 10kD subunit		
D1S1733E, DAN	Differential-screening-selected gene aberrant in neuroblastoma	aberrant in some neuroblastomas	
HTR6	5-hydroxytryptamine (serotonin) receptor-6		
RNF186	Ring finger protein 186		
OTUD3, KIAA0459	OTU domain-containing protein 3		
PLA2G2E	Secretory phospholipase A2, group IIE		
PLA2G2A, PLA2B, PLA2L, MOM1	Phospholipase A2, group IIA, platelets, synovial fluid	germline mutation identified in 1 CRC patient	{?Colorectal cancer, susceptibility to}, 114500 (3), Autosomal dominant, Somatic mutation
PLA2G5, FRFB	Phospholipase A2, group V		[Fleck retina, familial benign], 228980 (3), Autosomal recessive
B6QTL1	Vitamin B6 plasma level QTL 1	associated with rs4654748	{Vitamin B6 plasma level QTL 1}, 612957 (2)
BFIS4, BFIC4	Seizures, benign familial infantile, 4	between D1S2864 and D1S2830	Seizures, benign familial infantile, 4, 612627 (2)
PLA2G2D, SPLASH	Phospholipase A2, group IID		
PLA2G2F	Phospholipase A2, group IIf		
UBXN10	UBX domain protein 10		
CAMK2N1	Calcium/calmodulin-dependent protein kinase II inhibitor 1		
MUL1, MULAN, C1orf166	Mitochondrial ubiquitin ligase activator of NFKB1		
CDA	Cytidine deaminase		
PINK1, PARK6	PTEN-induced putative kinase 1		Parkinson disease 6, early onset, 605909 (3), Autosomal recessive
DDOST, OST, OST48, CDG1R	Dolichyl-diphosphooligosaccharide-protein glycosyltransferase	mutation (cmpd het) identified in 1 CDG1R patient	?Congenital disorder of glycosylation, type Ir, 614507 (3), Autosomal recessive
KIF17, KIAA1405	Kinesin family member 17		
HP1BP3, HP1BP74	Heterochromatin protein 1-binding protein 3		
EIF4G3, EIF4GII	Eukaryotic translation initiation factor 4-gamma, 3		
ECE1	Endothelin converting enzyme 1	mutation identified in 1 HCAD patient	?Hirschsprung disease, cardiac defects, and autonomic dysfunction, 613870 (3), Autosomal dominant; {Hypertension, essential, susceptibility to}, 145500 (3), Multifactorial
NBPF3	Neuroblastoma breakpoint family, member 3		
ALPL, HOPS, TNSALP	Alkaline phosphatase, liver/bone/kidney		Hypophosphatasia, adult, 146300 (3), Autosomal recessive, Autosomal dominant; Hypophosphatasia, childhood, 241510 (3), Autosomal recessive; Hypophosphatasia, infantile, 241500 (3), Autosomal recessive; Odontohypophosphatasia, 146300 (3), Autosomal recessive, Autosomal dominant
RAP1GA1	RAP1, GTPase activating protein 1		
USP48, USP31	Ubiquitin-specific peptidase 48		
HSPG2, PLC, SJS, SJA, SJS1	Heparan sulfate proteoglycan of basement membrane (perlecan)		Dyssegmental dysplasia, Silverman-Handmaker type, 224410 (3), Autosomal recessive; Schwartz-Jampel syndrome, type 1, 255800 (3), Autosomal recessive
CDC42, TKS	Cell division cycle 42 (GTP-binding protein, 25kD)		Takenouchi-Kosaki syndrome, 616737 (3), Autosomal dominant
WNT4, SERKAL	Wingless-type MMTV integration site family, member 4	mutation identified in 1 SERKAL family	Mullerian aplasia and hyperandrogenism, 158330 (3), Autosomal dominant; ?SERKAL syndrome, 611812 (3), Autosomal recessive
ZBTB40, KIAA0478	Zinc finger- and BTB domain-containing protein 40		
EPHA8, EEK, HEK3	Ephrin receptor EphA8 (eph- and elk-related kinase)		
C1QA	Complement component 1, q subcomponent, A chain		C1q deficiency, 613652 (3), Autosomal recessive
C1QC, C1QG	Complement component 1, q subcomponent, C chain		C1q deficiency, 613652 (3), Autosomal recessive
C1QB	Complement component 1, q subcomponent, B chain		C1q deficiency, 613652 (3), Autosomal recessive
EPHB2, EPHT3, DRT, ERK, PCBC, CAPB, BDPLT22	eph tyrosine kinase 3 (ephrin receptor EphB2)	mutation identified in 1 BDPLT22 family	?Bleeding disorder, platelet-type, 22, 618462 (3), Autosomal recessive; {Prostate cancer/brain cancer susceptibility, somatic}, 603688 (3)
KDM1A, LSD1, AOF2, BHC110, KIAA0601, CPRF	Lysine-specific demethylase 1A		Cleft palate, psychomotor retardation, and distinctive facial features, 616728 (3), Autosomal dominant
LUZP1	Leucine zipper protein 1		
HTR1D	5-hydroxytryptamine (serotonin) receptor-1D		
HNRPR, HNRNPR	Heterogeneous nuclear ribonucleoprotein R		
ZNF436, KIAA1710	Zinc finger protein 436		
TCEA3	Transcription elongation factor A, 3		
ASAP3, UPLC1, CENTB6, DDEFL1, ACAP4	ARF GTPase-activating protein with SH3 domain, ankyrin repeat, and PH domain 3		
E2F2	E2F transcription factor 2		
ID3	Inhibitor of DNA binding 3, dominant negative, helix-loop-helix protein		
MDS2	Myelodysplasia syndrome gene 2	fused with ETV6 in myelodysplastic syndrome	
RPL11, DBA7	Ribosomal protein L11		Diamond-Blackfan anemia 7, 612562 (3), Autosomal dominant
TCEB3	Transcription elongation factor B (SIII), polypeptide 3 (110kD, elongin A)		
LYPLA2, APT2	Lysophospholipase II		
GALE	UDP galactose-4-epimerase		Galactose epimerase deficiency, 230350 (3), Autosomal recessive
HMGCL	3-hydroxy-3-methylglutaryl-Coenzyme A lyase		HMG-CoA lyase deficiency, 246450 (3), Autosomal recessive
FUCA1	Fucosidase, alpha-L- 1, tissue	8cM distal to RH; pseudogene on 2q31-q32	Fucosidosis, 230000 (3), Autosomal recessive
CNR2, CB2, CX5	Cannabinoid receptor 2		
PNRC2	Proline-rich nuclear receptor coactivator 2		
SRSF10, FUSIP1, TASR, TASR1, TASR2	Splicine factor, serine/arginine-rich, 10	pseudogenes on chr. 9, 12, 20	
MYOM3	Myomesin 3		
IFNLR1, IL28RA	Interferon, lambda receptor 1		
GRHL3, SOM, TFCP2L4, VWS2	Grainyhead-like 3		Van der Woude syndrome 2, 606713 (3), Autosomal dominant
STPG1, MAPO2, C1orf201	Sperm-tail PG-rich repeat-containing protein 1		
RCAN3, DSCR1L2, MCIP3	Regulator of calcineurin 3		
SRRM1, SRM160	Serine/arginine repetitive matrix 1 (ser/arg-related nuclear matrix protein, 160kD)		
CLIC4, MTCLIC	Chloride intracellular channel 4		
RUNX3, CBFA3, PEBP2A3, AML2	Runt-related transcription factor 3		
SYF2, P29	SYF2 pre-mRNA splicing factor		
RHD	Rhesus system D polypeptide		[Rh-negative blood type] (3)
TMEM50A, SMP1	Transmembrane protein 50A	between RHD and RHCE	
RHCE, RHNA	Rhesus system C and E polypeptides	?order: C-E-D	[Blood group, Rhesus] (3); Rh-null disease, amorph type, 617970 (3)
TMEM57, FLJ10747	Transmembrane protein 57		
LDLRAP1, ARH, FHCB2, FHCB1, FHCL4	Low density lipoprotein receptor adaptor protein 1		Hypercholesterolemia, familial, 4, 603813 (3), Autosomal recessive
MAN1C1	Mannosidase, alpha, class 1C, member 1		
SELENON, SEPN1, SELN, RSMD1, CFTD	Selenoprotein N		Muscular dystrophy, rigid spine, 1, 602771 (3), Autosomal recessive; Myopathy, congenital, with fiber-type disproportion, 255310 (3), Autosomal recessive, Autosomal dominant
PAQR7, MPRA, PGLP	Progestin and ADIPOQ receptor family, member 7		
STMN1, LAP18, SMN	Stathmin		
PAFAH2	Platelet-activating factor acetylhydrolase 2		
EXTL1	Exostosin-like 1		
SLC30A2, ZNT2, TNZD	Solute carrier family 30 (zinc transporter), member 2		Zinc deficiency, transient neonatal, 608118 (3), Autosomal dominant
TRIM63, RNF28, SMRZ, MURF1	Tripartite motif containing 63		
PDIK1L	PDLIM1-interacting kinase 1-like		
ZNF593, ZT86	Zinc finger protein 593		
CNKSR1, CNK1	Connector enhancer of KSR 1		
CATSPER4	Cation channel, sperm-associated, 4		
SH3BGRL3	SH3 domain-binding glutamic acid-rich protein-like protein 3		
UBXN11, SOC	UBX domain protein 11		
CD52, CDW52	CD52 molecule		
ZNF683, HOBIT	Zinc finger protein 683		
LIN28A	lin-28 homolog A		
DHDDS, HDS, RP59, DEDSM	Dehydrodolichyl diphosphate synthase	mutation identified in 1 CDG1BB patient	?Congenital disorder of glycosylation, type 1bb, 613861 (3), Autosomal recessive; Developmental delay and seizures with or without movement abnormalities, 617836 (3), Autosomal dominant; Retinitis pigmentosa 59, 613861 (3), Autosomal recessive
