Gene.refGene	OMIM_Comments	OMIM_GeneName	OMIM_Phenotypes
AGRN		Agrin	Myasthenic syndrome, congenital, 8, with pre- and postsynaptic defects, 615120 (3), Autosomal recessive
CMS8		Agrin	Myasthenic syndrome, congenital, 8, with pre- and postsynaptic defects, 615120 (3), Autosomal recessive
MIR200B		Micro RNA 200B	
MIRN200B		Micro RNA 200B	
MIR200A		Micro RNA 200A	
MIRN200A		Micro RNA 200A	
MIR429		Micro RNA 429	
MIRN429		Micro RNA 429	
TNFRSF18		Tumor necrosis factor receptor superfamily, member 18	
AITR		Tumor necrosis factor receptor superfamily, member 18	
GITR		Tumor necrosis factor receptor superfamily, member 18	
TNFRSF4	mutation identified in 1 IMD16 family	Tumor necrosis factor receptor superfamily, member 4	?Immunodeficiency 16, 615593 (3), Autosomal recessive
TXGP1L	mutation identified in 1 IMD16 family	Tumor necrosis factor receptor superfamily, member 4	?Immunodeficiency 16, 615593 (3), Autosomal recessive
OX40	mutation identified in 1 IMD16 family	Tumor necrosis factor receptor superfamily, member 4	?Immunodeficiency 16, 615593 (3), Autosomal recessive
ACT35	mutation identified in 1 IMD16 family	Tumor necrosis factor receptor superfamily, member 4	?Immunodeficiency 16, 615593 (3), Autosomal recessive
IMD16	mutation identified in 1 IMD16 family	Tumor necrosis factor receptor superfamily, member 4	?Immunodeficiency 16, 615593 (3), Autosomal recessive
SDF4		Stromal cell-derived factor 4	
CAB45		Stromal cell-derived factor 4	
B3GALT6		UDP-Gal:beta-Gal beta-1,3-galactosyltransferase polypeptide 6	Ehlers-Danlos syndrome, spondylodysplastic type, 2, 615349 (3), Autosomal recessive; Spondyloepimetaphyseal dysplasia with joint laxity, type 1, with or without fractures, 271640 (3), Autosomal recessive
SEMDJL1		UDP-Gal:beta-Gal beta-1,3-galactosyltransferase polypeptide 6	Ehlers-Danlos syndrome, spondylodysplastic type, 2, 615349 (3), Autosomal recessive; Spondyloepimetaphyseal dysplasia with joint laxity, type 1, with or without fractures, 271640 (3), Autosomal recessive
EDSSPD2		UDP-Gal:beta-Gal beta-1,3-galactosyltransferase polypeptide 6	Ehlers-Danlos syndrome, spondylodysplastic type, 2, 615349 (3), Autosomal recessive; Spondyloepimetaphyseal dysplasia with joint laxity, type 1, with or without fractures, 271640 (3), Autosomal recessive
FAM132A		Family with sequence similarity 132, member A	
C1QDC2		Family with sequence similarity 132, member A	
C1QTNF12		Family with sequence similarity 132, member A	
SCNN1D		Sodium channel, voltage-gated, type I, delta polypeptide	
CPSF3L		Cleavage and polyadenylation-specific factor 3-like	
INTS11		Cleavage and polyadenylation-specific factor 3-like	
RC68		Cleavage and polyadenylation-specific factor 3-like	
GLTPD1		Glycolipid transfer protein domain-containing protein 1	
CPTP		Glycolipid transfer protein domain-containing protein 1	
TAS1R3		Taste receptor type 1, member 3	
T1R3		Taste receptor type 1, member 3	
DVL1		Dishevelled segment polarity protein 1	Robinow syndrome, autosomal dominant 2, 616331 (3), Autosomal dominant
DRS2		Dishevelled segment polarity protein 1	Robinow syndrome, autosomal dominant 2, 616331 (3), Autosomal dominant
MXRA8		Matrix remodeling-associated protein 8	
ASP3		Matrix remodeling-associated protein 8	
AURKAIP1		Aurora kinase A-interacting protein 1	
AKIP		Aurora kinase A-interacting protein 1	
AIP		Aurora kinase A-interacting protein 1	
CCNL2		Cyclin L2	
MRPL20		Mitochondrial ribosomal protein L20	
VWA1		von Willebrand factor A domain-containing protein 1	
WARP		von Willebrand factor A domain-containing protein 1	
ATAD3C		ATPase family, AAA domain-containing, member 3C	
ATAD3B		ATPase family, AAA domain-containing, member 3B	
TOB3		ATPase family, AAA domain-containing, member 3B	
KIAA1273		ATPase family, AAA domain-containing, member 3B	
ATAD3A	one family with AR inheritance reported	ATPase family, AAA domain-containing, member 3A	Harel-Yoon syndrome, 617183 (3), Autosomal recessive, Autosomal dominant
HAYOS	one family with AR inheritance reported	ATPase family, AAA domain-containing, member 3A	Harel-Yoon syndrome, 617183 (3), Autosomal recessive, Autosomal dominant
TMEM240		Transmembrane protein 240	Spinocerebellar ataxia 21, 607454 (3), Autosomal dominant
C1orf70		Transmembrane protein 240	Spinocerebellar ataxia 21, 607454 (3), Autosomal dominant
SCA21		Transmembrane protein 240	Spinocerebellar ataxia 21, 607454 (3), Autosomal dominant
SSU72		Ssu72, S. cerevisiae, homolof of	
MIB2		Mindbomb E3 ubiquitin protein ligase 2	
MMP23B		Matrix metalloproteinase 23B	
MMP22		Matrix metalloproteinase 23B	
CDK11B		Cyclin-dependent kinase 11B	
CDC2L1		Cyclin-dependent kinase 11B	
P58		Cyclin-dependent kinase 11B	
CDK11		Cyclin-dependent kinase 11B	
MMP23A		Matrix metalloproteinase 23A	
MMP21		Matrix metalloproteinase 23A	
MIFR		Matrix metalloproteinase 23A	
CDK11A		Cyclin-dependent kinase 11A	
CDC2L2		Cyclin-dependent kinase 11A	
NADK		NAD kinase	
GNB1		Guanine nucleotide-binding protein, beta polypeptide-1	Leukemia, acute lymphoblastic, somatic, 613065 (3); Mental retardation, autosomal dominant 42, 616973 (3), Autosomal dominant
MRD42		Guanine nucleotide-binding protein, beta polypeptide-1	Leukemia, acute lymphoblastic, somatic, 613065 (3); Mental retardation, autosomal dominant 42, 616973 (3), Autosomal dominant
CALML6		Calmodulin-like 6	
CAGLP		Calmodulin-like 6	
GABRD		Gamma-aminobutyric acid (GABA) A receptor, delta	{Epilepsy, generalized, with febrile seizures plus, type 5, susceptibility to}, 613060 (3), Autosomal dominant; {Epilepsy, idiopathic generalized, 10}, 613060 (3), Autosomal dominant; {Epilepsy, juvenile myoclonic, susceptibility to}, 613060 (3), Autosomal dominant
GEFSP5		Gamma-aminobutyric acid (GABA) A receptor, delta	{Epilepsy, generalized, with febrile seizures plus, type 5, susceptibility to}, 613060 (3), Autosomal dominant; {Epilepsy, idiopathic generalized, 10}, 613060 (3), Autosomal dominant; {Epilepsy, juvenile myoclonic, susceptibility to}, 613060 (3), Autosomal dominant
EIG10		Gamma-aminobutyric acid (GABA) A receptor, delta	{Epilepsy, generalized, with febrile seizures plus, type 5, susceptibility to}, 613060 (3), Autosomal dominant; {Epilepsy, idiopathic generalized, 10}, 613060 (3), Autosomal dominant; {Epilepsy, juvenile myoclonic, susceptibility to}, 613060 (3), Autosomal dominant
EJM7		Gamma-aminobutyric acid (GABA) A receptor, delta	{Epilepsy, generalized, with febrile seizures plus, type 5, susceptibility to}, 613060 (3), Autosomal dominant; {Epilepsy, idiopathic generalized, 10}, 613060 (3), Autosomal dominant; {Epilepsy, juvenile myoclonic, susceptibility to}, 613060 (3), Autosomal dominant
PRKCZ		Protein kinase C, zeta form	
PKC2		Protein kinase C, zeta form	
C1orf86		Chromosome 1 open reading frame 86	
FAAP20		Chromosome 1 open reading frame 86	
SKI	formerly mapped to 1q22-q24	SKI proto-oncogene	Shprintzen-Goldberg syndrome, 182212 (3), Autosomal dominant
SGS	formerly mapped to 1q22-q24	SKI proto-oncogene	Shprintzen-Goldberg syndrome, 182212 (3), Autosomal dominant
DYT13		Dystonia 13, torsion	Dystonia 13, torsion, 607671 (2), Autosomal dominant
KONDS	linked to rs966321 and rs1441834	Kondoh syndrome (mental retardation, microcephaly, growth retardation, joint contractures, and facial dysmorphism)	Kondoh syndrome, 606242 (2), Autosomal recessive
PEX10		Peroxisome biogenesis factor 10	Peroxisome biogenesis disorder 6A (Zellweger), 614870 (3), Autosomal recessive; Peroxisome biogenesis disorder 6B, 614871 (3), Autosomal recessive
NALD		Peroxisome biogenesis factor 10	Peroxisome biogenesis disorder 6A (Zellweger), 614870 (3), Autosomal recessive; Peroxisome biogenesis disorder 6B, 614871 (3), Autosomal recessive
PBD6A		Peroxisome biogenesis factor 10	Peroxisome biogenesis disorder 6A (Zellweger), 614870 (3), Autosomal recessive; Peroxisome biogenesis disorder 6B, 614871 (3), Autosomal recessive
PBD6B		Peroxisome biogenesis factor 10	Peroxisome biogenesis disorder 6A (Zellweger), 614870 (3), Autosomal recessive; Peroxisome biogenesis disorder 6B, 614871 (3), Autosomal recessive
PLCH2		Phospholipase C, eta-2	
PLCL4		Phospholipase C, eta-2	
PANK4		Pantothenate kinase 4	
HES5		Hes family bHLH transcription factor 5	
TNFRSF14		Tumor necrosis factor receptor superfamily, member 14 (herpesvirus entry mediator)	
HVEM		Tumor necrosis factor receptor superfamily, member 14 (herpesvirus entry mediator)	
TR2		Tumor necrosis factor receptor superfamily, member 14 (herpesvirus entry mediator)	
MMEL1		Membrane metalloendopeptidase-like 1	
NEPII		Membrane metalloendopeptidase-like 1	
NEP2		Membrane metalloendopeptidase-like 1	
NL1		Membrane metalloendopeptidase-like 1	
SEP		Membrane metalloendopeptidase-like 1	
ACTRT2		Actin-related protein T2	
ARPT2		Actin-related protein T2	
ARPM2		Actin-related protein T2	
PRDM16		PR domain-containing protein 16	Cardiomyopathy, dilated, 1LL, 615373 (3), Autosomal dominant; Left ventricular noncompaction 8, 615373 (3), Autosomal dominant
MEL1		PR domain-containing protein 16	Cardiomyopathy, dilated, 1LL, 615373 (3), Autosomal dominant; Left ventricular noncompaction 8, 615373 (3), Autosomal dominant
LVNC8		PR domain-containing protein 16	Cardiomyopathy, dilated, 1LL, 615373 (3), Autosomal dominant; Left ventricular noncompaction 8, 615373 (3), Autosomal dominant
CMD1LL		PR domain-containing protein 16	Cardiomyopathy, dilated, 1LL, 615373 (3), Autosomal dominant; Left ventricular noncompaction 8, 615373 (3), Autosomal dominant
MEGF6		Multiple epidermal growth factor-like domains 6	
EGFL3		Multiple epidermal growth factor-like domains 6	
MIR551A		Micro RNA 551A	
TPRG1L		Tumor protein p63 regulated 1-like	
FAM79A		Tumor protein p63 regulated 1-like	
WDR8		WD repeat-containing protein 8	
TP73	imprinted	p53-related protein	
SMIM1		Small integral membrane protein 1	[Blood group, Vel system], 615264 (3), Autosomal recessive
VEL		Small integral membrane protein 1	[Blood group, Vel system], 615264 (3), Autosomal recessive
CEP104		Centrosomal protein, 104kD	Joubert syndrome 25, 616781 (3), Autosomal recessive
GLYBP		Centrosomal protein, 104kD	Joubert syndrome 25, 616781 (3), Autosomal recessive
KIAA0562		Centrosomal protein, 104kD	Joubert syndrome 25, 616781 (3), Autosomal recessive
JBTS25		Centrosomal protein, 104kD	Joubert syndrome 25, 616781 (3), Autosomal recessive
DFFB		DNA fragmentation factor, 40kD, beta subunit	
CAD		DNA fragmentation factor, 40kD, beta subunit	
DFF2		DNA fragmentation factor, 40kD, beta subunit	
AJAP1		Adherens junction-associated protein 1	
SHREW1		Adherens junction-associated protein 1	
DFNB96	between rs3817914 and rs477558	Deafness, autosomal recessive 96	Deafness, autosomal recessive 96, 614414 (2), Autosomal recessive
NPHP4		Nephrocystin 4	Nephronophthisis 4, 606966 (3), Autosomal recessive; Senior-Loken syndrome 4, 606996 (3), Autosomal recessive
SLSN4		Nephrocystin 4	Nephronophthisis 4, 606966 (3), Autosomal recessive; Senior-Loken syndrome 4, 606996 (3), Autosomal recessive
KCNAB2		Potassium voltage-gated channel, shaker-related subfamily, beta member 2	
KCNA2B		Potassium voltage-gated channel, shaker-related subfamily, beta member 2	
CHD5		Chromodomain helicase DNA-binding protein 5	
RPL22	fused with AML1 in t(3;21)	Ribosomal protein L22	
EAP	fused with AML1 in t(3;21)	Ribosomal protein L22	
RNF207		RING finger protein 207	
C1orf188		RING finger protein 207	
ICMT		Isoprenylcysteine carboxylmethyltransferase	
HES3		Hes family bHLH transcription factor 3	
GPR153		G protein-coupled receptor 153	
ACOT7		Acyl-CoA thioesterase 7	
BACH		Acyl-CoA thioesterase 7	
LACH		Acyl-CoA thioesterase 7	
HES2		Hes family bHLH transcription factor 2	
ESPN		Espin	Deafness, autosomal recessive 36, 609006 (3), Autosomal recessive; Deafness, neurosensory, without vestibular involvement, autosomal dominant, 609006 (3), Autosomal recessive
TNFRSF25		Tumor necrosis factor receptor superfamily, member 25	
TNFRSF12		Tumor necrosis factor receptor superfamily, member 25	
DR3		Tumor necrosis factor receptor superfamily, member 25	
LARD		Tumor necrosis factor receptor superfamily, member 25	
PLEKHG5		Pleckstrin homology domain- and RhoGEF domain-containing protein G5	Charcot-Marie-Tooth disease, recessive intermediate C, 615376 (3), Autosomal recessive; Spinal muscular atrophy, distal, autosomal recessive, 4, 611067 (3), Autosomal recessive
KIAA0720		Pleckstrin homology domain- and RhoGEF domain-containing protein G5	Charcot-Marie-Tooth disease, recessive intermediate C, 615376 (3), Autosomal recessive; Spinal muscular atrophy, distal, autosomal recessive, 4, 611067 (3), Autosomal recessive
DSMA4		Pleckstrin homology domain- and RhoGEF domain-containing protein G5	Charcot-Marie-Tooth disease, recessive intermediate C, 615376 (3), Autosomal recessive; Spinal muscular atrophy, distal, autosomal recessive, 4, 611067 (3), Autosomal recessive
CMTRIC		Pleckstrin homology domain- and RhoGEF domain-containing protein G5	Charcot-Marie-Tooth disease, recessive intermediate C, 615376 (3), Autosomal recessive; Spinal muscular atrophy, distal, autosomal recessive, 4, 611067 (3), Autosomal recessive
TAS1R1		Taste receptor type 1, member 1	
T1R1		Taste receptor type 1, member 1	
ZBTB48		Zinc finger- and BTB domain-containing protein 48	
HKR3		Zinc finger- and BTB domain-containing protein 48	
KLHL21		Kelch-like 21	
KIAA0469		Kelch-like 21	
THAP3		THAP domain-containing protein 3	
DNAJC11		DNAJ/HSP40 homolog, subfamily C, member 11	
CAMTA1		Calmodulin-binding transcription activator 1	Cerebellar ataxia, nonprogressive, with mental retardation, 614756 (3), Autosomal dominant
KIAA0833		Calmodulin-binding transcription activator 1	Cerebellar ataxia, nonprogressive, with mental retardation, 614756 (3), Autosomal dominant
CANPMR		Calmodulin-binding transcription activator 1	Cerebellar ataxia, nonprogressive, with mental retardation, 614756 (3), Autosomal dominant
GLC3B		Glaucoma 3, primary infantile, B	Glaucoma 3, primary infantile, B, 600975 (2), Autosomal recessive
SCZD12	max lod at D1S1612	Schizophrenia 12	{Schizophrenia 12}, 181500 (2), Autosomal dominant
VAMP3		Vesicle-associated membrane protein 3	
PER3	mutation identified in 1 FASPS3 family	Period circadian regulator 3	?Advanced sleep phase syndrome, familial, 3, 616882 (3), Autosomal dominant
FASPS3	mutation identified in 1 FASPS3 family	Period circadian regulator 3	?Advanced sleep phase syndrome, familial, 3, 616882 (3), Autosomal dominant
UTS2		Urotensin II	
TNFRSF9		Tumor necrosis factor receptor superfamily, member 9 (interleukin-activated receptor; Ly63, mouse, homolog of)	
ILA		Tumor necrosis factor receptor superfamily, member 9 (interleukin-activated receptor; Ly63, mouse, homolog of)	
CD137		Tumor necrosis factor receptor superfamily, member 9 (interleukin-activated receptor; Ly63, mouse, homolog of)	
DJ1		Oncogene DJ-1	Parkinson disease 7, autosomal recessive early-onset, 606324 (3), Autosomal recessive
PARK7		Oncogene DJ-1	Parkinson disease 7, autosomal recessive early-onset, 606324 (3), Autosomal recessive
MIG6		Mitogen-inducible gene 6	
RALT		Mitogen-inducible gene 6	
SLC45A1		Solute carrier family 45, member 1	Intellectual developmental disorder with neuropsychiatric features, 617532 (3), Autosomal recessive
DNB5		Solute carrier family 45, member 1	Intellectual developmental disorder with neuropsychiatric features, 617532 (3), Autosomal recessive
IDDNPF		Solute carrier family 45, member 1	Intellectual developmental disorder with neuropsychiatric features, 617532 (3), Autosomal recessive
RERE		RE repeats-encoding gene	Neurodevelopmental disorder with or without anomalies of the brain, eye, or heart, 616975 (3), Autosomal dominant
NEDBEH		RE repeats-encoding gene	Neurodevelopmental disorder with or without anomalies of the brain, eye, or heart, 616975 (3), Autosomal dominant
ENO1		Enolase-1, alpha	Enolase deficiency (1)
PPH		Enolase-1, alpha	Enolase deficiency (1)
MPB1		Enolase-1, alpha	Enolase deficiency (1)
CA6		Carbonic anhydrase VI	
SLC2A7		Solute carrier family 2 (facilitated glucose transporter), member 7	
GLUT7		Solute carrier family 2 (facilitated glucose transporter), member 7	
SLC2A5		Solute carrier family 2 (facilitated glucose transporter), member 5	
GLUT5		Solute carrier family 2 (facilitated glucose transporter), member 5	
MIR34A		Micro RNA 34A	
MIRN34A		Micro RNA 34A	
H6PD	digenic triallelic mutations with HSD11B1	Hexose-6-phosphate dehydrogenase	Cortisone reductase deficiency 1, 604931 (3), Autosomal recessive
GDH	digenic triallelic mutations with HSD11B1	Hexose-6-phosphate dehydrogenase	Cortisone reductase deficiency 1, 604931 (3), Autosomal recessive
G6PDH	digenic triallelic mutations with HSD11B1	Hexose-6-phosphate dehydrogenase	Cortisone reductase deficiency 1, 604931 (3), Autosomal recessive
CORTRD1	digenic triallelic mutations with HSD11B1	Hexose-6-phosphate dehydrogenase	Cortisone reductase deficiency 1, 604931 (3), Autosomal recessive
SPSB		SPRY domain- and SOCS box-containing 1	
SSB1		SPRY domain- and SOCS box-containing 1	
SLC25A33		Solute carrier family 25 (mitochondrial carrier), member 33	
PIK3CD		Phosphatidylinositol 3-kinase, catalytic, 110kD, delta	Immunodeficiency 14, 615513 (3), Autosomal dominant
APDS		Phosphatidylinositol 3-kinase, catalytic, 110kD, delta	Immunodeficiency 14, 615513 (3), Autosomal dominant
IMD14		Phosphatidylinositol 3-kinase, catalytic, 110kD, delta	Immunodeficiency 14, 615513 (3), Autosomal dominant
CLSTN1		Calsyntenin 1	
KIAA0911		Calsyntenin 1	
CTNNBIP1		Catenin, beta-interacting protein 1	
ICAT		Catenin, beta-interacting protein 1	
LZIC		Leucine zipper and CTNNBIP1 domains-containing protein	
NMNAT1		Nicotinamide nucleotide adenylyltransferase 1	Leber congenital amaurosis 9, 608553 (3), Autosomal recessive
NMNAT		Nicotinamide nucleotide adenylyltransferase 1	Leber congenital amaurosis 9, 608553 (3), Autosomal recessive
PNAT1		Nicotinamide nucleotide adenylyltransferase 1	Leber congenital amaurosis 9, 608553 (3), Autosomal recessive
LCA9		Nicotinamide nucleotide adenylyltransferase 1	Leber congenital amaurosis 9, 608553 (3), Autosomal recessive
UBE4B		Ubiquitination factor E4B	
UFD2A		Ubiquitination factor E4B	
KIAA0684		Ubiquitination factor E4B	
KIF1B	mutation identified in 1 CMT2A1 family	Kinesin family member 1B	?Charcot-Marie-Tooth disease, type 2A1, 118210 (3), Autosomal dominant; {Neuroblastoma, susceptibility to, 1}, 256700 (3), Autosomal dominant, Somatic mutation; Pheochromocytoma, 171300 (3), Autosomal dominant
CMT2A	mutation identified in 1 CMT2A1 family	Kinesin family member 1B	?Charcot-Marie-Tooth disease, type 2A1, 118210 (3), Autosomal dominant; {Neuroblastoma, susceptibility to, 1}, 256700 (3), Autosomal dominant, Somatic mutation; Pheochromocytoma, 171300 (3), Autosomal dominant
CMT2A1	mutation identified in 1 CMT2A1 family	Kinesin family member 1B	?Charcot-Marie-Tooth disease, type 2A1, 118210 (3), Autosomal dominant; {Neuroblastoma, susceptibility to, 1}, 256700 (3), Autosomal dominant, Somatic mutation; Pheochromocytoma, 171300 (3), Autosomal dominant
NBLST1	mutation identified in 1 CMT2A1 family	Kinesin family member 1B	?Charcot-Marie-Tooth disease, type 2A1, 118210 (3), Autosomal dominant; {Neuroblastoma, susceptibility to, 1}, 256700 (3), Autosomal dominant, Somatic mutation; Pheochromocytoma, 171300 (3), Autosomal dominant
PGD		6-phosphogluconate dehydrogenase	
APITD1		Apoptosis-inducing, TAF9-like domain 1	
CORT		Cortistatin	
DFFA		DNA fragmentation factor, 45kD, alpha subunit	
DFF1		DNA fragmentation factor, 45kD, alpha subunit	
PEX14		Peroxisome biogenesis factor 14	Peroxisome biogenesis disorder 13A (Zellweger), 614887 (3), Autosomal recessive
PBD13A		Peroxisome biogenesis factor 14	Peroxisome biogenesis disorder 13A (Zellweger), 614887 (3), Autosomal recessive
CASZ1		Castor zinc finger protein 1	
SRG		Castor zinc finger protein 1	
TARDBP	pseudogenes on 2, 6, 8, 13, 20	TAR DNA-binding protein	Amyotrophic lateral sclerosis 10, with or without FTD, 612069 (3), Autosomal dominant; Frontotemporal lobar degeneration, TARDBP-related, 612069 (3), Autosomal dominant
TDP43	pseudogenes on 2, 6, 8, 13, 20	TAR DNA-binding protein	Amyotrophic lateral sclerosis 10, with or without FTD, 612069 (3), Autosomal dominant; Frontotemporal lobar degeneration, TARDBP-related, 612069 (3), Autosomal dominant
ALS10	pseudogenes on 2, 6, 8, 13, 20	TAR DNA-binding protein	Amyotrophic lateral sclerosis 10, with or without FTD, 612069 (3), Autosomal dominant; Frontotemporal lobar degeneration, TARDBP-related, 612069 (3), Autosomal dominant
MASP2		Mannan-binding lectin serine protease 2	MASP2 deficiency, 613791 (3), Autosomal recessive
SRM	?pseudogene on 3p14-q21	Spermidine synthase-1	
SPS1	?pseudogene on 3p14-q21	Spermidine synthase-1	
EXOSC10		Exosome component 10	
PMSCL2		Exosome component 10	
MTOR		Mechanistic target of rapamycin	Focal cortical dysplasia, type II, somatic, 607341 (3); Smith-Kingsmore syndrome, 616638 (3), Autosomal dominant
FRAP1		Mechanistic target of rapamycin	Focal cortical dysplasia, type II, somatic, 607341 (3); Smith-Kingsmore syndrome, 616638 (3), Autosomal dominant
SKS		Mechanistic target of rapamycin	Focal cortical dysplasia, type II, somatic, 607341 (3); Smith-Kingsmore syndrome, 616638 (3), Autosomal dominant
ANGPTL7		Angiopoietin-like 7	
CDT6		Angiopoietin-like 7	
UBIAD1		UbiA prenyltransferase domain-containing protein 1	Corneal dystrophy, Schnyder type, 121800 (3), Autosomal dominant
TERE1		UbiA prenyltransferase domain-containing protein 1	Corneal dystrophy, Schnyder type, 121800 (3), Autosomal dominant
SCCD		UbiA prenyltransferase domain-containing protein 1	Corneal dystrophy, Schnyder type, 121800 (3), Autosomal dominant
PTCHD2		Patched domain-containing protein 2	
DISP3		Patched domain-containing protein 2	
KIAA1337		Patched domain-containing protein 2	
FBXO2		F-box only protein 2	
FBX2		F-box only protein 2	
FBG1		F-box only protein 2	
NFB42		F-box only protein 2	
FBXO44		F-box only protein 44	
FBX44		F-box only protein 44	
FBX6A		F-box only protein 44	
FBG3		F-box only protein 44	
FBXO6		F-box only protein 6	
FBX6		F-box only protein 6	
FBG2		F-box only protein 6	
MAD2L2	mutation identified in 1 FANCV patient; pseudogene on 14q21-q23	Mitotic arrest-deficient 2 like 2	?Fanconi anemia, complementation group V, 617243 (3), Autosomal recessive
MAD2B	mutation identified in 1 FANCV patient; pseudogene on 14q21-q23	Mitotic arrest-deficient 2 like 2	?Fanconi anemia, complementation group V, 617243 (3), Autosomal recessive
FANCV	mutation identified in 1 FANCV patient; pseudogene on 14q21-q23	Mitotic arrest-deficient 2 like 2	?Fanconi anemia, complementation group V, 617243 (3), Autosomal recessive
DRAXIN		Dorsal repulsive axon guidance protein	
C1orf187		Dorsal repulsive axon guidance protein	
MTHFR		Methylenetetrahydrofolate reductase	Homocystinuria due to MTHFR deficiency, 236250 (3), Autosomal recessive; {Neural tube defects, susceptibility to}, 601634 (3), Autosomal recessive; {Schizophrenia, susceptibility to}, 181500 (3), Autosomal dominant; {Thromboembolism, susceptibility to}, 188050 (3), Autosomal dominant; {Vascular disease, susceptibility to} (3)
CLCN6		Chloride channel 6	
NPPA		Natriuretic peptide precursor A	Atrial fibrillation, familial, 6, 612201 (3), Autosomal dominant; Atrial standstill 2, 615745 (3), Autosomal recessive
PND		Natriuretic peptide precursor A	Atrial fibrillation, familial, 6, 612201 (3), Autosomal dominant; Atrial standstill 2, 615745 (3), Autosomal recessive
ANP		Natriuretic peptide precursor A	Atrial fibrillation, familial, 6, 612201 (3), Autosomal dominant; Atrial standstill 2, 615745 (3), Autosomal recessive
ATFB6		Natriuretic peptide precursor A	Atrial fibrillation, familial, 6, 612201 (3), Autosomal dominant; Atrial standstill 2, 615745 (3), Autosomal recessive
ATRST2		Natriuretic peptide precursor A	Atrial fibrillation, familial, 6, 612201 (3), Autosomal dominant; Atrial standstill 2, 615745 (3), Autosomal recessive
NPPB		Natriuretic peptide precursor B	
BNP		Natriuretic peptide precursor B	
PLOD1		Procollagen-lysine, 2-oxoglutarate 5-dioxygenase (lysine hydroxylase)	Ehlers-Danlos syndrome, kyphoscoliotic type, 1, 225400 (3), Autosomal recessive
LH1		Procollagen-lysine, 2-oxoglutarate 5-dioxygenase (lysine hydroxylase)	Ehlers-Danlos syndrome, kyphoscoliotic type, 1, 225400 (3), Autosomal recessive
